loss,delay,fast_recovery,md5_hash,ttc
0.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,15.610023260116577
0.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,14.728891849517822
