loss,delay,fast_recovery,md5_hash,ttc
0.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,8.198182344436646
0.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,10.240457534790039
0.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,13.034388065338135
0.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,10.16753101348877
0.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,8.667686462402344
0.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,24.543396711349487
0.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,21.675934076309204
0.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,28.498233556747437
0.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,27.2300124168396
0.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,24.082616090774536
1.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,12.15110731124878
1.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,13.53927206993103
1.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,14.168203115463257
1.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,14.198865413665771
1.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,13.662758111953735
1.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,58.42901563644409
1.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,30.450823068618774
1.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,35.340285539627075
1.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,40.5844612121582
1.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,31.879950523376465
1.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,16.294139623641968
1.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,16.143231868743896
1.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,17.019670009613037
1.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,15.554683208465576
1.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,14.420364379882812
1.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,57.340067625045776
1.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,40.18441677093506
1.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,39.85536503791809
1.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,56.42315626144409
1.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,42.8994357585907
2.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,18.32823920249939
2.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,20.937175035476685
2.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,18.324044227600098
2.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,21.124907970428467
2.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,18.71969771385193
2.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,43.92031240463257
2.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,52.00659108161926
2.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,85.14247703552246
2.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,46.93657660484314
2.0,20,0,1f9643fcd1d8df87f6a313d72d02db39,39.37665820121765
2.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,23.66422176361084
2.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,20.498550415039062
2.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,23.486449480056763
2.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,22.056421756744385
2.5,20,1,1f9643fcd1d8df87f6a313d72d02db39,22.654433965682983
2.5,20,0,a14380dc6f4a9cbe440eb48d95bb8275,95.08892488479614
2.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,128.8409972190857
2.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,48.83440399169922
2.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,40.29875683784485
2.5,20,0,1f9643fcd1d8df87f6a313d72d02db39,49.66428089141846
3.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,24.227200746536255
3.0,20,1,1f9643fcd1d8df87f6a313d72d02db39,24.431247234344482
