loss,delay,fast_recovery,md5_hash,ttc
0.5,20,1,0843815b7a5e4280e13db8ef6a8cdcb5,0.14246702194213867
0.5,20,1,0843815b7a5e4280e13db8ef6a8cdcb5,0.1345691680908203
0.5,20,1,0843815b7a5e4280e13db8ef6a8cdcb5,0.1665198802947998
0.5,20,1,0843815b7a5e4280e13db8ef6a8cdcb5,0.22292447090148926
0.5,20,1,0843815b7a5e4280e13db8ef6a8cdcb5,0.1302931308746338
0.5,20,0,0843815b7a5e4280e13db8ef6a8cdcb5,0.11848235130310059
0.5,20,0,0843815b7a5e4280e13db8ef6a8cdcb5,0.11343669891357422
0.5,20,0,0843815b7a5e4280e13db8ef6a8cdcb5,0.13258981704711914
0.5,20,0,0843815b7a5e4280e13db8ef6a8cdcb5,0.16058754920959473
0.5,20,0,0843815b7a5e4280e13db8ef6a8cdcb5,0.1595621109008789
1.0,20,1,0843815b7a5e4280e13db8ef6a8cdcb5,0.14944744110107422
1.0,20,1,0843815b7a5e4280e13db8ef6a8cdcb5,0.1356492042541504
1.0,20,1,0843815b7a5e4280e13db8ef6a8cdcb5,0.13661408424377441
1.0,20,1,0843815b7a5e4280e13db8ef6a8cdcb5,0.13776493072509766
1.0,20,1,0843815b7a5e4280e13db8ef6a8cdcb5,0.15202689170837402
1.0,20,0,0843815b7a5e4280e13db8ef6a8cdcb5,0.13558197021484375
1.0,20,0,0843815b7a5e4280e13db8ef6a8cdcb5,0.14112067222595215
1.0,20,0,0843815b7a5e4280e13db8ef6a8cdcb5,0.13512134552001953
1.0,20,0,0843815b7a5e4280e13db8ef6a8cdcb5,0.1371757984161377
1.0,20,0,0843815b7a5e4280e13db8ef6a8cdcb5,0.13511371612548828
1.5,20,1,0843815b7a5e4280e13db8ef6a8cdcb5,0.14939236640930176
1.5,20,1,0843815b7a5e4280e13db8ef6a8cdcb5,0.13019084930419922
1.5,20,1,0843815b7a5e4280e13db8ef6a8cdcb5,0.1351914405822754
1.5,20,1,0843815b7a5e4280e13db8ef6a8cdcb5,0.14008498191833496
1.5,20,1,0843815b7a5e4280e13db8ef6a8cdcb5,0.13627862930297852
1.5,20,0,0843815b7a5e4280e13db8ef6a8cdcb5,0.14280962944030762
1.5,20,0,0843815b7a5e4280e13db8ef6a8cdcb5,0.12698984146118164
1.5,20,0,0843815b7a5e4280e13db8ef6a8cdcb5,0.1601581573486328
