loss,delay,fast_recovery,md5_hash,ttc
1,0,1,d41d8cd98f00b204e9800998ecf8427e,0.1628720760345459
1,0,1,efeb8edca4532d81a8d71d58c8e5283b,0.16423416137695312
1,0,1,f271dbdaa2abbccf5bb0667bde28edbb,0.17113947868347168
1,0,1,9819946bc25d7dd1fa7591f9d77748ff,5.211499214172363
1,0,1,c8ae4f3e822853cfd6cb37b227f29a1d,0.16986584663391113
1,0,0,824dd5dc66a19ca20e684d520fc7112c,0.1690068244934082
1,0,0,824dd5dc66a19ca20e684d520fc7112c,2.209247589111328
1,0,0,9819946bc25d7dd1fa7591f9d77748ff,6.238271236419678
1,0,0,9819946bc25d7dd1fa7591f9d77748ff,3.2166152000427246
1,0,0,f976cacbfed522233e8ded389edd34ae,0.15826010704040527
1,20,1,0948037e47f6dd6f40652fbe22beea2a,0.371870756149292
1,20,1,96e8f52639e4a6ee4c0b4887bf08580d,0.3619384765625
1,20,1,567f39c53c3bc9eb28ccd6c42f3759f7,0.3872244358062744
1,20,1,470aa0616264ff6d9595c18d83bfb52b,0.36887192726135254
1,20,1,657df8d241d9b96377333fee8c578757,0.3638143539428711
1,20,0,13e4452d71cfe9c70c3ba3d351348721,0.3505704402923584
1,20,0,13e4452d71cfe9c70c3ba3d351348721,2.221327304840088
1,20,0,1d115ac8be872092cec3534e9d90e811,0.37137770652770996
1,20,0,8c251d8ba3fa9aaaddb7fcba97b93000,0.38672590255737305
1,20,0,f976cacbfed522233e8ded389edd34ae,0.36214494705200195
1,40,1,f976cacbfed522233e8ded389edd34ae,0.5325589179992676
1,40,1,882c7eaf779345c485a4440f1a9ef86d,0.5659997463226318
1,40,1,4500a9ae61ce1465fae7b4adbd4fd6da,0.5621950626373291
1,40,1,c8ae4f3e822853cfd6cb37b227f29a1d,0.5558617115020752
1,40,1,96e8f52639e4a6ee4c0b4887bf08580d,0.5564761161804199
1,40,0,824dd5dc66a19ca20e684d520fc7112c,0.5432660579681396
1,40,0,1d115ac8be872092cec3534e9d90e811,0.5812103748321533
1,40,0,470aa0616264ff6d9595c18d83bfb52b,0.5438556671142578
1,40,0,83c31510ffc639e6efd17edb928d567f,0.5559206008911133
1,40,0,aec4773f568b5c53c6b9f48c3277c9b1,0.5538337230682373
1,60,1,88637fe58a2574b5e4280704b0317c97,0.7246463298797607
